Study_Hours,Scores,,,
1,32.48,,,
1.18,31.15,,,
1.37,36.91,,,
1.55,43.13,,,
1.73,36.18,,,
1.92,38.01,,,
2.1,48.92,,,
2.29,46.69,,,
2.47,42.35,,,
2.65,49.24,,,
2.84,46.05,,,
3.02,47.88,,,
3.2,53.25,,,
3.39,44.31,,,
3.57,47.09,,,
3.76,54.74,,,
3.94,54.32,,,
4.12,62.8,,,
4.31,58.52,,,
4.49,57.84,,,
4.67,74.06,,,
4.86,67.44,,,
5.04,70.75,,,
5.22,65.12,,,
5.41,71.36,,,
5.59,76.47,,,
5.78,72,,,
5.96,81.47,,,
6.14,78.43,,,
6.33,81.81,,,
6.51,82.09,,,
6.69,96.2,,,
6.88,88.71,,,
7.06,85.32,,,
7.24,96.56,,,
7.43,88.18,,,
7.61,97.17,,,
7.8,88.16,,,
7.98,93.15,,,
8.16,102.62,,,
8.35,107.16,,,
8.53,106.16,,,
8.71,106.56,,,
8.9,107.47,,,
9.08,103.42,,,
9.27,109.05,,,
9.45,112.19,,,
9.63,121.61,,,
9.82,119.88,,,
10,111.18,,,
